"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 11, 2017","193.46","191.69","193.47","191.63","-","0.85%"
"Sep 08, 2017","191.83","191.48","192.45","191.48","-","0.37%"
"Sep 07, 2017","191.13","190.72","191.69","190.38","-","0.26%"
"Sep 06, 2017","190.63","191.35","191.35","189.80","-","-0.36%"
"Sep 05, 2017","191.32","191.37","192.08","191.13","-","0.03%"
"Sep 04, 2017","191.27","192.22","192.22","191.04","-","-0.50%"
"Sep 01, 2017","192.23","192.03","192.79","191.97","-","0.10%"
"Aug 31, 2017","192.03","192.03","192.18","191.38","-","0.03%"
"Aug 30, 2017","191.97","189.89","192.14","189.89","-","1.14%"
"Aug 29, 2017","189.80","190.25","190.25","189.03","-","-0.29%"
"Aug 28, 2017","190.36","191.11","191.80","190.17","-","-0.30%"
"Aug 25, 2017","190.93","190.32","191.70","190.14","-","0.36%"
"Aug 24, 2017","190.25","189.24","190.74","189.24","-","0.54%"
"Aug 23, 2017","189.22","189.08","189.34","188.82","-","0.12%"
"Aug 22, 2017","189.00","187.12","189.07","187.12","-","1.03%"
"Aug 21, 2017","187.08","186.19","187.23","186.07","-","0.49%"
"Aug 18, 2017","186.17","187.12","187.12","185.39","-","-0.57%"
"Aug 17, 2017","187.23","186.91","188.21","186.91","-","0.21%"
"Aug 16, 2017","186.83","185.87","187.08","185.73","-","0.49%"
"Aug 15, 2017","185.92","185.79","187.14","185.55","-","0.09%"
"Aug 14, 2017","185.76","184.11","185.87","183.99","-","0.94%"
"Aug 11, 2017","184.03","186.68","186.68","183.41","-","-1.50%"
"Aug 10, 2017","186.84","189.90","189.91","186.63","-","-1.59%"
"Aug 09, 2017","189.86","190.12","190.33","188.92","-","-0.32%"
"Aug 08, 2017","190.46","189.54","190.78","189.36","-","0.52%"
"Aug 07, 2017","189.47","187.71","189.58","187.70","-","0.94%"
"Aug 04, 2017","187.71","187.23","187.87","187.18","-","0.28%"
"Aug 03, 2017","187.18","187.55","187.55","186.49","-","-0.27%"
"Aug 02, 2017","187.68","187.41","188.77","187.15","-","0.13%"
"Aug 01, 2017","187.43","186.96","187.90","186.84","-","0.27%"
"Jul 31, 2017","186.93","185.69","187.36","185.41","-","0.69%"
"Jul 28, 2017","185.65","186.20","186.20","184.73","-","-0.32%"
"Jul 27, 2017","186.24","185.12","187.12","185.12","-","0.75%"
"Jul 26, 2017","184.85","184.28","185.15","183.90","-","0.26%"
"Jul 25, 2017","184.37","184.72","184.82","184.10","-","-0.19%"
"Jul 24, 2017","184.73","183.55","184.81","183.31","-","0.64%"
"Jul 21, 2017","183.55","184.01","184.01","183.32","-","-0.21%"
"Jul 20, 2017","183.94","183.95","184.47","183.69","-","-0.01%"
"Jul 19, 2017","183.96","182.69","184.39","182.61","-","0.71%"
"Jul 18, 2017","182.67","181.90","182.75","181.49","-","0.45%"
"Jul 17, 2017","181.85","181.84","183.08","181.75","-","0.10%"
